Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Middle,EMA_20,EMA_50
2024-05-02,2969.79443359375,3015.05029296875,2894.329833984375,2988.16845703125,13163903903,41.43112303842481,7.808833208502165,30.794816680069417,3299.037704309001,2932.159024206624,3115.5983642578126,3098.036159123877,3066.3019885809813
2024-05-03,2988.134521484375,3127.1552734375,2960.18212890625,3103.5419921875,12862183229,50.95788379148584,7.593907211887199,26.154634786432972,3296.593989076029,2944.4668995958455,3120.5304443359373,3098.5605241775556,3067.762380879276
2024-05-04,3103.61962890625,3167.541259765625,3096.267578125,3117.576416015625,8283229638,51.98109130158866,8.458532822345205,22.61541439361542,3293.789971928591,2943.3343688917216,3118.5621704101563,3100.371561495467,3069.7158724532505
2024-05-05,3117.636962890625,3170.05517578125,3075.586181640625,3137.2490234375,8783447639,53.447285667777585,10.608877322057197,20.214106979303775,3295.571176581731,2945.118032402644,3120.3446044921875,3103.8837007280417,3072.364231315378
2024-05-06,3137.51025390625,3220.15234375,3048.238525390625,3062.728759765625,13008587255,47.52731346655408,6.2280848585814965,17.416902555159318,3295.682874533538,2942.7871938258368,3119.2350341796873,3099.964182541145,3071.986369685976
2024-05-07,3062.7509765625,3129.081298828125,3003.013671875,3006.5771484375,11743187337,43.60781198134475,-1.754466093206247,13.582628825486205,3293.509137863405,2947.14589143347,3120.3275146484375,3091.070179293179,3069.421302186036
2024-05-08,3006.315673828125,3037.196044921875,2938.47265625,2973.6572265625,11791662158,41.4496232966291,-10.614698172604221,8.743163425868122,3299.584516042875,2931.833477121188,3115.7089965820314,3079.8879933188286,3065.665848240015
2024-05-09,2973.9716796875,3057.958251953125,2951.223876953125,3036.0205078125,10861947179,46.81914132701267,-12.460661574723872,4.502398425749723,3300.2097944410516,2928.8823930589488,3114.54609375,3075.7101375563216,3064.503285870309
2024-05-10,3036.231201171875,3052.7294921875,2881.000732421875,2909.791259765625,12278653601,39.01907490534163,-23.83449700092524,-1.1649806595852699,3307.726527385952,2896.582066364048,3102.154296875,3059.908339671493,3058.436147591694
2024-05-11,2909.845458984375,2942.1787109375,2888.083251953125,2911.60205078125,6795916454,39.17562219427072,-32.329552857802355,-7.397895099228687,3311.4821703382067,2869.2577710680434,3090.369970703125,3045.783931205756,3052.6779477167747
2024-05-12,2911.658203125,2953.04736328125,2902.201904296875,2928.701904296875,5908941395,40.723174103134426,-37.25270456940552,-13.368856993264055,3302.5580480618396,2850.88687381316,3076.7224609375,3034.6332619763384,3047.8161420924653
2024-05-13,2928.81396484375,2994.869140625,2865.134521484375,2949.359619140625,13352264795,42.622433342860354,-39.037433591594436,-18.502572312930134,3285.2979059396157,2841.091815740072,3063.194860839844,3026.511962658651,3043.955101976707
2024-05-14,2949.213134765625,2959.546630859375,2863.5458984375,2881.157958984375,12444516140,38.263489871743175,-45.43144279703711,-23.888346409751527,3283.428240327251,2817.0967596727487,3050.2625,3012.668724213482,3037.5709002907333
2024-05-15,2881.224609375,3041.602294921875,2864.7353515625,3037.056640625,14666902956,50.67997024171134,-37.48689486077228,-26.60805609995568,3272.053474098129,2816.5262378159337,3044.2898559570312,3014.991382919341,3037.5507332450184
2024-05-16,3036.01416015625,3041.80712890625,2925.08740234375,2945.131103515625,13035465176,44.94048899804491,-38.1684241403932,-28.920129708043184,3263.1463368660698,2806.9300059073676,3035.0381713867187,3008.33802297613,3033.926434039944
2024-05-17,2945.136962890625,3120.3017578125,2934.112548828125,3094.11865234375,14449438097,54.027706847477106,-26.382371400070042,-28.41257804644856,3233.4846094823547,2820.7867772363957,3027.135693359375,3016.5076067254276,3036.2869131891134
2024-05-18,3094.553466796875,3146.79052734375,3087.704345703125,3122.948974609375,9407051320,55.556303717187646,-14.547775922501387,-25.639617621659127,3200.746506941587,2839.542311417788,3020.1444091796875,3026.6448798572324,3039.685425401673
2024-05-19,3122.82470703125,3137.1484375,3056.75439453125,3071.843017578125,8747800800,52.24034190057634,-9.186698819519734,-22.349033861231252,3170.8705839089507,2855.059640700424,3012.9651123046874,3030.9494644020792,3040.9465074478085
2024-05-20,3071.85888671875,3690.805908203125,3050.2978515625,3663.85546875,31228143948,72.62421636578817,42.34433146939955,-9.41036079510509,3376.6876100822287,2714.3994748787086,3045.5435424804687,3091.226226720929,3065.3743098518157
2024-05-21,3663.01123046875,3837.372802734375,3628.096435546875,3789.312744140625,37643853967,75.05404352085318,92.2430770947908,10.92032678287409,3553.2532239026073,2619.7866686755174,3086.5199462890623,3157.710656951376,3093.7640523729456
2024-05-22,3789.372802734375,3810.948486328125,3655.0751953125,3737.2177734375,25155809461,72.18878899070776,126.13060860167434,33.96238314663414,3670.8141917759826,2577.1306324427674,3123.972412109375,3212.9018109024355,3118.997531630379
2024-05-23,3737.178466796875,3943.553955078125,3552.642578125,3776.92724609375,45623656317,73.03385566001099,154.4109902665209,58.05210457061149,3777.264803913943,2538.0185456954323,3157.6416748046877,3266.618519015894,3144.7986969034523
2024-05-24,3776.992431640625,3825.12255859375,3631.990234375,3726.9345703125,22257061429,70.14411250681825,170.82029532319257,80.60574272112771,3857.375356650111,2518.8438083889514,3188.109582519531,3310.4581429489044,3167.6275546841994
2024-05-25,3726.9755859375,3776.006591796875,3710.5283203125,3749.236572265625,10000027764,70.70105348100388,183.50899550547047,101.18639327799627,3932.6534480230384,2504.7644718988367,3218.7089599609376,3352.2465647885924,3190.4357514520984
2024-05-26,3749.179931640625,3879.470703125,3732.02294921875,3825.8974609375,14650794791,72.59359713277061,197.4744127445506,120.44399717130713,4015.866903611771,2497.8678864272915,3256.867395019531,3397.3561739456313,3215.3558184907415
2024-05-27,3826.127197265625,3973.556396484375,3821.930419921875,3892.0068359375,18949181813,74.14462171791949,211.43924063562918,138.64304586417154,4100.86762577712,2501.4101330119415,3301.138879394531,3444.4657608019997,3241.8911525082613
2024-05-28,3892.096923828125,3924.895751953125,3771.2138671875,3840.25634765625,19846044324,70.76831729659554,215.84253703343302,154.08294409802386,4163.170314598395,2525.7673563000426,3344.4688354492187,3482.1601024071665,3265.356454278771
2024-05-29,3840.235107421875,3880.6484375,3742.041259765625,3763.196533203125,17411416736,65.95227889887377,210.68544745102554,165.4034447686242,4206.411423440445,2555.243849997055,3380.82763671875,3508.925476768686,3284.8795946287455
2024-05-30,3763.357666015625,3823.643310546875,3702.263671875,3746.849609375,15065849797,64.94262237373803,202.93999077822264,172.9107539705439,4232.43805906826,2612.9230493301775,3422.680554199219,3531.5849179692873,3302.9960657952656
2024-05-31,3746.861572265625,3843.857666015625,3723.835205078125,3760.026611328125,15290700646,65.40240756847828,195.61006344646785,177.4506158657287,4250.658131258155,2679.545433194971,3465.1017822265626,3553.3412697177478,3320.9188322867503
2024-06-01,3759.88427734375,3829.294677734375,3749.840087890625,3813.198974609375,8661024535,67.26794051779325,191.87973838053176,180.33644036868932,4266.822408330774,2751.830863153601,3509.3266357421876,3578.0896225645693,3340.2239359072455
2024-06-02,3813.275634765625,3834.911865234375,3752.41455078125,3780.89599609375,11126903059,64.97575548577399,184.19357956260592,181.10786820747265,4269.258811098291,2832.5480980813973,3550.903454589844,3597.4045152816343,3357.5051931694616
2024-06-03,3780.854248046875,3848.60302734375,3758.919921875,3766.38916015625,14082454300,63.922317756455946,174.91534765539745,179.8693640970576,4245.6477233484375,2944.6823059484377,3595.1650146484376,3613.4982909839787,3373.539858541493
2024-06-04,3766.476318359375,3831.364990234375,3738.13427734375,3812.515869140625,13331489271,65.8198780851364,169.33236385613372,177.7619640488728,4234.910244292964,3032.9657078554733,3633.9379760742186,3632.4523460465166,3390.7546040551847
2024-06-05,3812.560791015625,3887.48583984375,3778.65576171875,3864.260986328125,15480034434,67.86198112911555,167.1563333177519,175.64083790264866,4193.273413736139,3166.515526693548,3679.8944702148438,3654.5293594066698,3409.3234817913785
2024-06-06,3864.263427734375,3878.05224609375,3761.775390625,3811.60595703125,13606583873,63.691909797625186,159.34614940995016,172.38190020410897,4151.145361828496,3280.3923090699423,3715.768835449219,3669.4890353709156,3425.099265134119
2024-06-07,3811.666015625,3838.4521484375,3615.2802734375,3678.629150390625,18220286186,54.571694096746945,140.8033124919366,166.0661826616745,4079.121604026376,3407.984084450186,3743.552844238281,3670.35952251565,3435.0416135755504
2024-06-08,3677.400390625,3707.497314453125,3669.637939453125,3680.949951171875,9096091805,54.69362864253864,124.85598776103507,157.82414368154662,3894.581237354375,3653.435144481563,3774.008190917969,3671.3681347686243,3444.685077795014
2024-06-09,3680.93603515625,3719.36767578125,3668.12353515625,3705.90380859375,7910768788,56.059316786951456,112.92940586864279,148.84519611896584,3889.8702939519994,3662.3509218683134,3776.1106079101564,3674.6572465614936,3454.928949591043
2024-06-10,3705.877197265625,3711.4287109375,3648.16455078125,3666.717529296875,10377300126,53.34019963565103,99.17230198204743,138.91061729158218,3893.535296457957,3646.426397877981,3769.980847167969,3673.9010830124826,3463.2343840893113
2024-06-11,3666.35888671875,3669.890869140625,3434.7490234375,3498.33056640625,19184721538,43.56221794182212,73.83119731629449,125.89473329652465,3931.168128465434,3584.904845167378,3758.036486816406,3657.1800814309368,3464.610704964485
2024-06-12,3497.89697265625,3652.4921875,3463.784912109375,3559.61767578125,17142905351,47.345554560058275,58.0246744962169,112.32072153646311,3941.312127177842,3553.0298894237203,3747.171008300781,3647.888423750014,3468.336468525927
2024-06-13,3559.725341796875,3559.725341796875,3431.33349609375,3469.28125,14472382154,42.79204231598718,37.773072230173966,97.41119167520529,3964.8597694450377,3503.716915125275,3734.2883422851564,3630.8782167262034,3468.3735187798125
2024-06-14,3467.969970703125,3528.602294921875,3366.223876953125,3480.27197265625,15793876596,43.503965757408636,22.352722721035207,82.39949788437129,3977.625457035235,3464.05476757414,3720.8401123046874,3616.5347649100177,3468.8401248141827
2024-06-15,3479.78564453125,3589.887451171875,3473.45263671875,3565.549560546875,12733651076,48.825355031241024,16.81929096901331,69.28345650129968,3968.5496143396604,3447.095820230652,3707.822717285156,3611.679031161147,3472.632651705661
2024-06-16,3566.761962890625,3648.093017578125,3541.534423828125,3620.5634765625,9878388158,51.968439814728534,16.68088285720478,58.76294177248071,3942.5730290359274,3445.928069596885,3694.2505493164062,3612.525168818419,3478.433860523576
2024-06-17,3622.383544921875,3634.285400390625,3468.14892578125,3511.37890625,17838856988,45.9380276631001,7.672467669381149,48.5448469518608,3928.960051356062,3426.6533031361255,3677.806677246094,3602.8921914309503,3479.7258231010833
2024-06-18,3510.565185546875,3514.17724609375,3371.59033203125,3483.681396484375,21022514455,44.526498047796764,-1.6823309652809257,38.49941136843246,3925.850342691511,3401.8114981288013,3663.830920410156,3591.5387823884193,3479.8809436259185
2024-06-19,3482.350830078125,3583.320068359375,3466.48095703125,3559.347412109375,15275373778,49.12549062402817,-2.9563818575056757,30.208252723244836,3917.384334330546,3391.527286763204,3654.455810546875,3588.4729375999386,3482.997275723309
2024-06-20,3559.347412109375,3623.886474609375,3485.4599609375,3511.0869140625,16115123753,46.47877422325147,-7.77071921717652,22.612458335160564,3907.4518867991383,3376.5657645680494,3642.008825683594,3581.1028401201825,3484.098830167983
2024-06-21,3511.268310546875,3542.957275390625,3447.935546875,3516.07568359375,15933353456,46.79786619954487,-11.056116226195172,15.878743422889416,3885.41571164427,3368.8896106213556,3627.1526611328127,3574.9097775938553,3485.3528244199742
2024-06-22,3516.55126953125,3519.49755859375,3477.169921875,3494.8134765625,7423703673,45.55137027398866,-15.20028007078372,9.662938724154788,3866.913819684419,3358.7832506280806,3612.84853515625,3567.2815584480118,3485.723830386348
2024-06-23,3494.953857421875,3519.324951171875,3408.5830078125,3418.61181640625,9418141333,41.305085545974315,-24.35267443361454,2.859816092600923,3852.8613721120432,3338.057963825457,3595.45966796875,3553.1225353964155,3483.091986700854
2024-06-24,3418.783203125,3430.698974609375,3244.241455078125,3350.25634765625,23137744903,37.892709805349995,-36.698688328326625,-5.051884791584587,3830.69829145172,3313.995092337343,3572.3466918945314,3533.8019460878286,3477.8827459540066
2024-06-25,3350.5556640625,3422.21337890625,3335.556884765625,3395.029052734375,13235546063,41.312680209762874,-42.381660765776815,-12.517839986423033,3779.335463068205,3318.434727361482,3548.8850952148437,3520.585480054166,3474.6335815140214
2024-06-26,3394.373291015625,3421.509521484375,3328.390625,3369.477294921875,11694054195,39.960294483601984,-48.38946702214707,-19.69216539356784,3734.853060285294,3318.7042639334563,3526.778662109375,3506.1942243272815,3470.5098055692315
2024-06-27,3368.88623046875,3470.923095703125,3362.2646484375,3444.800537109375,11771834016,45.61239702086842,-46.53629913372288,-25.06099214159885,3713.278573470398,3316.8958894202274,3515.0872314453127,3500.3472064970047,3469.501598962963
2024-06-28,3445.498779296875,3482.95751953125,3363.4375,3373.635986328125,12861158844,41.62537170309817,-50.231002997037194,-30.094994312686524,3691.3104613283426,3308.1326050779076,3499.721533203125,3488.279471242826,3465.7421631733614
2024-06-29,3373.68994140625,3401.730224609375,3369.552734375,3372.9677734375,6584792001,41.58861163218205,-52.60658565048652,-34.59731258024652,3656.1996162812957,3309.949846609329,3483.0747314453124,3477.297404785176,3462.103951811171
2024-06-30,3373.07568359375,3453.21142578125,3352.284423828125,3432.88916015625,8396416013,46.17872962558845,-49.08823824014962,-37.49549771222715,3622.4693472880913,3320.2972786884716,3471.3833129882814,3473.0680481538498,3460.958273707057
2024-07-01,3432.607421875,3513.310791015625,3425.3232421875,3440.341552734375,12281551839,46.73930204536407,-45.177795268665704,-39.031957223514866,3619.6181709873345,3317.3495536220407,3468.4838623046876,3469.951239066281,3460.149774845383
2024-07-02,3439.38134765625,3459.761474609375,3399.026123046875,3416.354736328125,9421757718,45.11068573131625,-43.5126894599548,-39.928103670802855,3607.7759262435657,3314.865504420497,3461.3207153320313,3464.8468102340757,3458.4323223545102
2024-07-03,3416.2548828125,3426.332275390625,3254.521240234375,3292.916748046875,16121324440,37.80942949870705,-51.55915332502491,-42.25431360164727,3617.0590976902868,3287.945882778463,3452.502490234375,3448.4725185971993,3451.9415155189167
2024-07-04,3291.81787109375,3309.20361328125,3054.52197265625,3054.52197265625,20252514386,28.287166221242387,-76.29304124676719,-49.06205913067125,3672.779566373658,3189.650414095092,3431.214990234375,3410.9534189837755,3436.3564354066557
2024-07-05,3057.833251953125,3106.152587890625,2826.014404296875,2981.5986328125,31131942647,26.12011283624662,-100.61925358043436,-59.373498020623884,3707.8340448550325,3096.2008428402796,3402.017443847656,3370.062486967464,3418.522796089238
2024-07-06,2981.988037109375,3080.107421875,2957.395751953125,3069.3779296875,11586293705,32.79427379703087,-111.52925661444215,-69.80464973938754,3696.27355048956,3052.6427825182527,3374.4581665039063,3341.4258624646104,3404.8308405440716
2024-07-07,3067.405029296875,3072.814453125,2923.959228515625,2929.38720703125,10857947538,28.389531370251447,-129.97334220495304,-81.83838823250065,3716.5131314493606,2974.204031636577,3345.3585815429688,3302.1840857566713,3386.1859921710197
2024-07-08,2929.861572265625,3090.66455078125,2826.481689453125,3018.73193359375,22627377457,34.44161725831013,-135.81544426996925,-92.63379943999438,3714.427425583849,2929.7947912130257,3322.1111083984374,3275.188642693536,3371.7760290895585
