Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Middle,EMA_20,EMA_50,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,EMA_Diff,ROC,Stoch_K,Stoch_D,ATR,Volatility_20,Daily_Return,Log_Return,Volume_SMA_20,Volume_Change_Pct
2021-06-14,167.3415069580078,169.25,166.77499389648438,169.19349670410156,51394000,64.20921245582716,0.6813238449786354,-0.34439293818769673,167.95690849663663,157.42858955023837,162.6927490234375,163.70385723210478,163.6196756012273,163.34744873046876,162.6927490234375,164.82934936523438,164.3092957686627,163.62797192368407,0.6813238449786354,3.635657216432215,99.46895395545408,96.18449170687866,2.224391392299107,2.6320797365995623,0.011067127216432215,0.011006334685231454,54973100.0,-0.08791793852488106
2021-06-15,169.1999969482422,169.84950256347656,168.15550231933594,169.156494140625,48524000,64.08817607174889,1.0175265072165018,-0.07200904910685701,168.97699696671359,156.97220042098175,162.97459869384767,164.22315598529718,163.83680574002722,164.1698486328125,162.97459869384767,164.98574920654298,165.05501859511844,164.03749208790194,1.0175265072165018,4.737300773287238,93.83417142733019,94.38091150546575,2.1094632829938615,3.001199136432955,-0.0002186996793457352,-0.00021872359760794925,53675400.0,-0.05584309452465264
2021-06-16,169.60000610351562,171.3175048828125,168.02650451660156,170.7624969482422,84056000,66.99609994012118,1.3974515918314125,0.2218830790807969,170.32598900152715,156.53805823968378,163.43202362060546,164.84595036272052,164.1084014736827,165.0761489868164,163.43202362060546,165.1771792602539,165.9330921879067,164.5356405960753,1.3974515918314125,5.962633964805277,95.63243952022036,96.3118549676682,2.211606706891741,3.4469826904608394,0.0094941835711142,0.009449397061352359,55049800.0,0.7322562031159838
2021-06-17,170.15899658203125,174.86000061035156,170.0500030517578,174.46200561523438,102730000,72.51681214325936,1.9743058213970812,0.5723676275440538,172.4828278983477,155.6684202705976,164.07562408447265,165.76176514867421,164.51442516550824,166.5873001098633,164.07562408447265,165.3870294189453,167.24523271518788,165.2709268937908,1.9743058213970812,8.406947576494717,97.55080003004808,95.6724703258662,2.4297496250697543,4.203601906937517,0.02166464377780497,0.02143330072900694,57506600.0,0.22216141619872465
2021-06-18,173.99949645996094,175.35000610351562,173.6855010986328,174.34500122070312,104954000,72.10599926255792,2.3944242453233073,0.9367789510999045,174.20125569323025,155.1460923292307,164.67367401123047,166.57921620315315,164.8999379519865,167.9906997680664,164.67367401123047,165.57462951660156,168.33750479295946,165.94308054763616,2.3944242453233073,7.8203756523695365,93.99638857213695,95.72654270746845,2.447606767926897,4.763790840999887,-0.0006706583139327593,-0.000670883305820527,60121100.0,0.021648982770368974
2021-06-21,173.8209991455078,174.10000610351562,171.6999969482422,172.697998046875,65542000,66.40340293864213,2.564905102107474,1.2624041813014184,175.21922615271643,155.38252097863125,165.30087356567384,167.16195733112664,165.20574423021742,169.27044982910155,165.30087356567384,165.65638946533204,169.00834990894649,166.443444806839,2.564905102107474,8.376192187945565,84.15766316370924,91.90161725529809,2.486821855817522,4.959176293521303,-0.009446804682075038,-0.009491708765252797,59293300.0,-0.37551689311507896
2021-06-22,172.9029998779297,176.18899536132812,172.80450439453125,175.27200317382812,66902000,70.350022411055,2.874576779491747,1.5848387009394842,176.70186695500007,155.20213084773428,165.95199890136718,167.93434264947916,165.60049948290805,170.477099609375,165.95199890136718,165.78243957519533,169.9719888727744,167.09741209328266,2.874576779491747,9.33248379852471,94.78359143688203,90.9792143909094,2.6397497994559154,5.374934026816446,0.01490466106187549,0.014794678093753032,60215600.0,0.02075005340087266
2021-06-23,175.25,176.0500030517578,174.16000366210938,175.1909942626953,56266000,70.07104014446053,3.0779760804917373,1.883466176849935,177.96827554001229,155.1595717500268,166.56392364501954,168.6254523269283,165.9765973174095,171.59044952392577,166.56392364501954,165.88625946044922,170.77491277891608,167.69693669842434,3.0779760804917373,9.562507353825978,94.32276354381771,91.08800604813632,2.5963221958705356,5.70217594749637,-0.0004621896804161141,-0.00046229652298874693,59767800.0,-0.15897880481898896
2021-06-24,175.3820037841797,176.2429962158203,171.54249572753906,172.45399475097656,76640000,61.2353376618423,2.9839217133262537,2.103557284145199,178.60698609703047,155.44046110755937,167.02372360229492,168.9900754149329,166.2306129030396,172.0875991821289,167.02372360229492,166.00233947753907,171.03323308231,168.04931136898375,2.9839217133262537,5.66677536940544,78.51186746925396,89.20607414998456,2.8106787545340404,5.791631247367768,-0.015622946391951387,-0.015746270765313524,61215800.0,0.36210144669960553
2021-06-25,173.1999969482422,173.24099731445312,169.70899963378906,170.072998046875,78820000,54.76570050628494,2.6862905294554196,2.220103933207243,178.80754231806327,156.09665537480782,167.45209884643555,169.09321090368928,166.3812946733861,172.36074829101562,167.45209884643555,166.02470947265624,170.88550461532,168.19921408586458,2.6862905294554196,3.666704118205987,59.784919929268035,77.53985031411322,2.935107639857701,5.677721735813862,-0.013806561613952328,-0.013902758645549816,62595600.0,0.02844467640918591
2021-06-28,170.8000030517578,172.39999389648438,170.67550659179688,172.1945037841797,44856000,58.929396316940185,2.5917276319119367,2.294428672948182,179.1417274908024,156.8665702386898,168.0041488647461,169.38857213040265,166.6092636581231,172.66084899902344,168.0041488647461,166.06915954589843,171.0868891028369,168.49516147092496,2.5917276319119367,2.813431652112816,68.14215609169207,68.81298116340469,2.810178484235491,5.568789313028144,0.012474089136242261,0.012396928694551673,62508600.0,-0.43090586145648313
2021-06-29,171.9409942626953,172.80149841308594,171.15150451660156,172.40699768066406,41968000,59.33317033904466,2.5050556141041227,2.3365540611793705,179.35807469763822,157.79767328820165,168.57787399291993,169.67604123042753,166.83662577665413,172.98589935302735,168.57787399291993,166.1452896118164,171.28998273019494,168.7849271160908,2.5050556141041227,3.0270378310429398,68.5199771096271,65.48235104352906,2.808500017438616,5.390100352359141,0.0012340341405479016,0.0012332733462509843,62177000.0,-0.06438380595683968
2021-06-30,172.05299377441406,173.5800018310547,171.75,172.00799560546875,48080000,58.17660796130179,2.376773319349013,2.344597912813299,179.46685666432705,158.71974154123933,169.0932991027832,169.8981321232886,167.0394245934704,173.11044921875,169.0932991027832,166.25075958251952,171.40044624946782,169.0236729301188,2.376773319349013,1.6634793630924225,55.74941168217445,64.1371816278312,2.6897495814732144,5.186778780771931,-0.0023143032508132766,-0.0023169853895690052,62566500.0,0.14563476934807462
2021-07-01,171.73049926757812,172.85000610351562,170.4709930419922,171.64849853515625,40742000,57.09669839897135,2.2205036831558402,2.3197790668818072,179.0575090326892,160.35888958791628,169.70819931030275,170.06483368632362,167.22017259118357,172.8290985107422,169.70819931030275,166.32170959472657,171.43860813957372,169.21810445641788,2.2205036831558402,1.473194633875286,51.47342041434661,58.58093640204938,2.741358075823103,4.67465486119324,-0.0020900020900020966,-0.002092189192267082,62205300.0,-0.15262063227953415
2021-07-02,172.58200073242188,175.58599853515625,171.8459930419922,175.5489959716797,63388000,64.74361126764427,2.3839161148849257,2.332606476482431,179.04660758024818,161.89359017365808,170.47009887695313,170.58713485635755,167.5467931159089,172.94949798583986,170.47009887695313,166.52364959716797,172.07097549835925,169.68705938347432,2.3839161148849257,2.8030153628453203,91.55356970412795,66.25880060021633,2.8458219255719865,4.28825435164753,0.022723749230608936,0.02246941064938596,63125000.0,0.5558391831525207
2021-07-06,176.5054931640625,184.2740020751953,176.4499969482422,183.78700256347656,134896000,74.9136020004622,3.141941581654919,2.4944734975169287,180.68473542599972,162.64411284060182,171.66442413330077,171.84426511417843,168.18366407463708,174.0583984375,171.66442413330077,166.85850952148436,173.87344120068497,170.73149961903005,3.141941581654919,5.34500157518991,97.00261834191714,80.00986948679723,3.348036629813058,4.510155646349478,0.04692710742205475,0.04585930904650017,67654000.0,1.1280999558276013
2021-07-07,185.86900329589844,186.7100067138672,183.94549560546875,184.82899475097656,106562000,75.86204285701112,3.783152459960121,2.7522092900055672,182.63831174624957,162.8528854583403,172.74559860229493,173.0809060319687,168.83642214037587,175.01409759521485,172.74559860229493,167.14608947753905,175.55891097765289,171.77575851769276,3.783152459960121,6.013360553424622,88.93587918627006,92.49735574410504,3.321751185825893,4.946356571977316,0.005669564076709488,0.0056535525885647525,69565400.0,-0.21004329261060373
